,,,,,,,,,,,,,SAMPLE_NAME,UTEN-00078,UTEN-00079,UTEN-00080,UTEN-00081,UTEN-00082,UTEN-00083,UTEN-00084,UTEN-00085,UTEN-00086,UTEN-00087,UTEN-00088,UTEN-00089
,,,,,,,,,,,,,SAMPLE_ID,2444994,2444995,2444996,2444997,2444998,2444999,2445000,2445001,2445002,2445003,2445004,2445005
,,,,,,,,,,,,,CLIENT_IDENTIFIER,201_WAT,203_WAT,204_WAT,206_WAT,207_WAT,208_WAT,209_WAT,243_WAT,213_WAT,215_WAT,217_WAT,218_WAT
,,,,,,,,,,,,,ANIMAL_ID,201,203,204,206,207,208,209,243,213,215,217,218
,,,,,,,,,,,,,BRADFORD_PROTEIN,5.863,3.435,2.003,3.108,1.309,0.992,1.237,0.953,3.28,1.035,2.705,2.727
,,,,,,,,,,,,,DIET,ND,ND,ND,ND,HFD,HFD,HFD,HFD,HFD,HFD,HFD,HFD
,,,,,,,,,,,,,DSDNA_ASSAY,82.093,56.855,13.794,42.232,1.998,1.055,1.276,0.958,49.851,1.835,42.019,32.732
,,,,,,,,,,,,,GROUP_DESCRIPTION,Normal treated diet,Normal treated diet,Normal treated diet,Normal treated diet,High fat diet vehicle treated,High fat diet vehicle treated,High fat diet vehicle treated,High fat diet vehicle treated,High fat diet drug treated ,High fat diet drug treated ,High fat diet drug treated ,High fat diet drug treated 
,,,,,,,,,,,,,TREATMENT,Veh,Veh,Veh,Veh,Veh,Veh,Veh,Veh,Tx,Tx,Tx,Tx
PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,ND_Veh,ND_Veh,ND_Veh,ND_Veh,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Veh,HFD_Tx,HFD_Tx,HFD_Tx,HFD_Tx
1534,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phospholipid Metabolism,52603,LC/MS Pos Late,100008903,2006,782.56944,998-06-1,5288075,4450312,,,0.2841,0.2990,1.4311,0.5689,2.5296,4.4235,4.1802,7.4613,0.1057,3.6751,0.1401,0.2200
1475,"1,2-dioleoyl-GPC (18:1/18:1)*",Lipid,Phospholipid Metabolism,52457,LC/MS Pos Late,100008905,2346,786.60074,4235-95-4,10350317,8525772,,,0.5991,0.6169,0.9058,0.8793,2.8179,5.0154,4.6288,6.9963,0.8512,4.9606,0.7483,1.0942
1518,"1,2-dioleoyl-GPE (18:1/18:1)",Lipid,Phospholipid Metabolism,52609,LC/MS Pos Late,100008906,2485,744.55378,5/1/04,9546757,7825707,,,0.3254,0.3496,1.1614,0.5628,4.2773,7.2772,5.8839,11.4713,0.4265,10.3747,0.6600,0.8386
1468,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phospholipid Metabolism,19130,LC/MS Pos Late,100000657,2365,734.56944,63-89-8,452110,398235,,HMDB00564,0.3843,0.4820,1.4076,0.5924,2.8873,3.4894,3.2363,5.4098,0.3822,3.1574,0.4292,0.5407
1539,"1,2-distearoyl-GPC (18:0/18:0)",Lipid,Phospholipid Metabolism,19132,LC/MS Pos Late,100000660,3066,790.63204,816-94-4,94190,85004,,,1.3106,1.5644,0.1169,1.2774,0.3539,0.4449,0.3968,0.9286,1.7263,0.2806,1.0714,1.9168
818,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802,163.06119,154-58-5,64960,,C07326,HMDB02712,0.4528,0.5393,1.2850,0.7150,2.7941,2.0863,3.5402,3.5381,0.2841,3.7899,0.2924,0.4059
