
 Univariate Analysis Result for each variable/metabolite

[NOTE]
    p-value is calculated with t-test as a default.
    p-value with (W) is calculated by the Wilcoxon Mann Whitney test


"Name","Mean (SD) of 
HFD_Tx","Mean (SD) of 
HFD_Veh","p-value","q-value (FDR)","Fold Change","HFD_Tx/HFD_Veh"
"beta-guanidinopropanoate","-0.292 (0.352)","0.292 (0.080)","0.0419 ","0.1298","1","Down"
"beta-hydroxyisovaleroylcarnitine","-0.111 (0.249)","0.111 (0.467)","0.4347 ","0.5438","1","Down"
"betaine","0.306 (0.385)","-0.306 (0.172)","0.0273 ","0.1080","1","Up"
"betaine aldehyde","0.296 (0.307)","-0.296 (0.094)","0.0286 (W)","0.1080","1","Up"
"butyrylcarnitine","0.215 (0.189)","-0.215 (0.413)","0.1071 ","0.1981","1","Up"
"C-glycosyltryptophan","0.204 (0.217)","-0.204 (0.196)","0.0286 (W)","0.1080","1","Up"
"carnitine","-0.250 (0.370)","0.250 (0.115)","0.0417 ","0.1298","1","Down"
"carnosine","-0.060 (0.432)","0.060 (0.410)","0.7031 ","0.7678","1","Down"
"cholesterol","-0.219 (0.235)","0.219 (0.221)","0.0346 ","0.1190","1","Down"
"choline","0.238 (0.223)","-0.238 (0.300)","0.0437 ","0.1323","1","Up"
"choline phosphate","0.072 (0.382)","-0.072 (0.481)","0.6552 ","0.7300","1","Up"
"citrate","0.262 (0.380)","-0.262 (0.158)","0.0435 ","0.1323","1","Up"
"citrulline","0.069 (0.391)","-0.069 (0.435)","0.6551 ","0.7300","1","Up"
"creatine","-0.153 (0.536)","0.153 (0.154)","0.3153 ","0.4304","1","Down"
"creatine phosphate","-0.040 (0.074)","0.040 (0.428)","0.7378 ","0.7970","1","Down"
"creatinine","0.021 (0.450)","-0.021 (0.169)","0.8679 ","0.8993","1","Up"
"cysteine","0.230 (0.466)","-0.230 (0.158)","0.1104 ","0.2021","1","Up"
"cysteine sulfinic acid","0.353 (0.145)","-0.353 (0.178)","0.0286 (W)","0.1080","1","Up"
"cytidine","0.328 (0.303)","-0.328 (0.109)","0.0286 (W)","0.1080","1","Up"
"cytidine 5'-diphosphocholine","0.189 (0.289)","-0.189 (0.408)","0.1812 ","0.2791","1","Up"
"cytidine 5'-monophosphate","-0.161 (0.265)","0.161 (0.355)","0.1972 ","0.2976","1","Down"
"cytidine 5'-monophospho-N-acetylneuraminic acid","0.078 (0.381)","-0.078 (0.278)","0.5316 ","0.6220","1","Up"
"cytidine-5'-diphosphoethanolamine","-0.201 (0.450)","0.201 (0.125)","0.1364 ","0.2301","1","Down"
"dehydroascorbate","0.326 (0.241)","-0.326 (0.149)","0.0286 (W)","0.1080","1","Up"
"deoxycarnitine","0.102 (0.308)","-0.102 (0.418)","0.4636 ","0.5675","1","Up"
"dihomo-linoleate","0.014 (0.448)","-0.014 (0.395)","0.9271 ","0.9443","1","Up"
"dihomo-linolenate","-0.052 (0.471)","0.052 (0.188)","0.6977 ","0.7678","1","Down"
"dihydroxyacetone","0.244 (0.229)","-0.244 (0.206)","0.0193 ","0.1080","1","Up"
"dimethyl","0.049 (0.277)","-0.049 (0.362)","0.6790 ","0.7522","1","Up"
"dimethylarginine","0.292 (0.347)","-0.292 (0.167)","0.0230 ","0.1080","1","Up"
"dimethylglycine","-0.202 (0.292)","0.202 (0.360)","0.1319 ","0.2281","1","Down"
"docosadienoate","-0.158 (0.368)","0.158 (0.252)","0.2069 ","0.3095","1","Down"
"docosahexaenoate","0.008 (0.436)","-0.008 (0.165)","0.9454 ","0.9537","1","Up"
"docosapentaenoate","-0.174 (0.473)","0.174 (0.104)","0.2379 ","0.3453","1","Down"
"eicosapentaenoate","-0.233 (0.356)","0.233 (0.198)","0.0622 ","0.1496","1","Down"
"eicosenoate","-0.112 (0.444)","0.112 (0.260)","0.4162 ","0.5283","1","Down"
"ergothioneine","-0.313 (0.109)","0.313 (0.191)","0.0286 (W)","0.1080","1","Down"
"erucate","-0.244 (0.390)","0.244 (0.099)","0.0515 ","0.1406","1","Down"
"erythronate*","0.256 (0.406)","-0.256 (0.138)","0.0542 ","0.1413","1","Up"
"flavin adenine dinucleotide","0.284 (0.116)","-0.284 (0.263)","0.0286 (W)","0.1080","1","Up"
"fructose","0.040 (0.488)","-0.040 (0.107)","0.7657 ","0.8180","1","Up"
"fumarate","0.238 (0.378)","-0.238 (0.242)","0.0782 ","0.1681","1","Up"
"galactonate","0.103 (0.214)","-0.103 (0.387)","0.3870 ","0.5013","1","Up"
"gamma-aminobutyrate","0.254 (0.193)","-0.254 (0.282)","0.0248 ","0.1080","1","Up"
"gamma-carboxyglutamate","0.347 (0.235)","-0.347 (0.212)","0.0286 (W)","0.1080","1","Up"
"gamma-glutamyl-epsilon-lysine","0.025 (0.327)","-0.025 (0.447)","0.8640 ","0.8980","1","Up"
"gamma-glutamylalanine","-0.034 (0.241)","0.034 (0.410)","0.7839 ","0.8323","1","Down"
"gamma-glutamylglutamate","-0.229 (0.190)","0.229 (0.297)","0.0408 ","0.1298","1","Down"
"gamma-glutamylglutamine","0.111 (0.163)","-0.111 (0.429)","0.3702 ","0.4842","1","Up"
"gamma-glutamylisoleucine*","-0.195 (0.389)","0.195 (0.120)","0.1030 ","0.1958","1","Down"
"gamma-glutamylleucine","-0.131 (0.393)","0.131 (0.152)","0.2588 ","0.3687","1","Down"
"gamma-glutamylvaline","0.231 (0.238)","-0.231 (0.217)","0.0285 ","0.1080","1","Up"
"gamma-tocopherol/beta-tocopherol","-0.181 (0.404)","0.181 (0.255)","0.1802 ","0.2791","1","Down"
"glucose","-0.169 (0.321)","0.169 (0.239)","0.1417 ","0.2349","1","Down"
"glucuronate","0.078 (0.459)","-0.078 (0.339)","0.6043 ","0.6884","1","Up"
"glutamate","0.200 (0.448)","-0.200 (0.283)","0.1817 ","0.2791","1","Up"
"glutamate, gamma-methyl ester","0.200 (0.422)","-0.200 (0.053)","0.1542 ","0.2491","1","Up"
"glutamine","0.294 (0.320)","-0.294 (0.107)","0.0286 (W)","0.1080","1","Up"
"glutarate","0.330 (0.319)","-0.330 (0.056)","0.0286 (W)","0.1080","1","Up"
"glutarylcarnitine","0.090 (0.469)","-0.090 (0.039)","0.5016 ","0.6050","1","Up"
"glutathione, oxidized (GSSG)","0.142 (0.449)","-0.142 (0.411)","0.3876 ","0.5013","1","Up"
"glutathione, reduced (GSH)","-0.341 (0.225)","0.341 (0.288)","0.0097 ","0.1080","1","Down"
"glycerate","0.302 (0.387)","-0.302 (0.084)","0.0493 ","0.1390","1","Up"
"glycerol","-0.240 (0.374)","0.240 (0.140)","0.0532 ","0.1413","1","Down"
"glycerol 3-phosphate","0.180 (0.185)","-0.180 (0.305)","0.0898 ","0.1781","1","Up"
"glycerophosphoethanolamine","-0.260 (0.114)","0.260 (0.297)","0.0286 (W)","0.1080","1","Down"
"glycerophosphoglycerol","0.185 (0.294)","-0.185 (0.223)","0.0919 ","0.1795","1","Up"
"glycerophosphoinositol*","0.360 (0.401)","-0.360 (0.044)","0.0286 (W)","0.1080","1","Up"
"glycerophosphorylcholine","0.150 (0.452)","-0.150 (0.226)","0.2804 ","0.3890","1","Up"
"glycine","0.308 (0.467)","-0.308 (0.074)","0.0759 ","0.1673","1","Up"
"glycosyl-N-palmitoyl-sphingosine","0.272 (0.317)","-0.272 (0.207)","0.0283 ","0.1080","1","Up"
"glycylleucine","-0.164 (0.342)","0.164 (0.224)","0.1607 ","0.2560","1","Down"
"glycylvaline","-0.158 (0.260)","0.158 (0.329)","0.1839 ","0.2812","1","Down"
"guanidinoacetate","0.169 (0.329)","-0.169 (0.178)","0.1197 ","0.2134","1","Up"
"guanine","0.277 (0.204)","-0.277 (0.147)","0.0286 (W)","0.1080","1","Up"
"guanosine","0.210 (0.114)","-0.210 (0.468)","0.1696 ","0.2665","1","Up"
"guanosine 5'- monophosphate","-0.337 (0.449)","0.337 (0.068)","0.0562 ","0.1413","1","Down"
"gulonic acid*","-0.087 (0.075)","0.087 (0.487)","0.5276 ","0.6195","1","Down"
"heme","-0.267 (0.388)","0.267 (0.026)","0.0286 (W)","0.1080","1","Down"
"hexanoylcarnitine","-0.224 (0.231)","0.224 (0.346)","0.0743 ","0.1673","1","Down"
"histamine","0.127 (0.244)","-0.127 (0.465)","0.3699 ","0.4842","1","Up"
"histidine","0.301 (0.399)","-0.301 (0.065)","0.0549 ","0.1413","1","Up"
"homocitrulline","-0.026 (0.357)","0.026 (0.464)","0.8623 ","0.8980","1","Down"
"hypotaurine","0.302 (0.354)","-0.302 (0.141)","0.0194 ","0.1080","1","Up"
"hypoxanthine","0.327 (0.294)","-0.327 (0.177)","0.0089 ","0.1080","1","Up"
"imidazole lactate","-0.293 (0.334)","0.293 (0.178)","0.0213 ","0.1080","1","Down"
"inosine","0.317 (0.316)","-0.317 (0.227)","0.0174 ","0.1080","1","Up"
"inosine 5'-monophosphate (IMP)","-0.096 (0.149)","0.096 (0.444)","0.4433 ","0.5466","1","Down"
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate","0.208 (0.326)","-0.208 (0.212)","0.0764 ","0.1673","1","Up"
"isobutyrylcarnitine","-0.009 (0.419)","0.009 (0.430)","0.9525 ","0.9553","1","Down"
"isocitrate","-0.290 (0.277)","0.290 (0.114)","0.0286 (W)","0.1080","1","Down"
"isoleucine","0.128 (0.458)","-0.128 (0.334)","0.3996 ","0.5091","1","Up"
"isovalerylcarnitine","0.064 (0.318)","-0.064 (0.439)","0.6557 ","0.7300","1","Up"
"kynurenine","0.322 (0.414)","-0.322 (0.119)","0.0244 ","0.1080","1","Up"
"lactate","0.286 (0.187)","-0.286 (0.293)","0.0167 ","0.1080","1","Up"
"laurylcarnitine","-0.256 (0.236)","0.256 (0.176)","0.0286 (W)","0.1080","1","Down"
"leucine","0.214 (0.436)","-0.214 (0.250)","0.1395 ","0.2329","1","Up"
"linoleate","-0.231 (0.459)","0.231 (0.108)","0.1353 ","0.2301","1","Down"
"linolenate","-0.271 (0.401)","0.271 (0.172)","0.0473 ","0.1368","1","Down"
"linoleoylcarnitine*","0.104 (0.426)","-0.104 (0.401)","0.5030 ","0.6050","1","Up"
"lysine","0.364 (0.303)","-0.364 (0.042)","0.0286 (W)","0.1080","1","Up"
"malate","0.157 (0.422)","-0.157 (0.278)","0.2594 ","0.3687","1","Up"
"malonylcarnitine","-0.171 (0.438)","0.171 (0.107)","0.2168 ","0.3228","1","Down"
"maltose","-0.142 (0.068)","0.142 (0.409)","0.2606 ","0.3689","1","Down"
"mannose","0.192 (0.360)","-0.192 (0.184)","0.1060 ","0.1981","1","Up"
"margarate","-0.124 (0.475)","0.124 (0.154)","0.3596 ","0.4758","1","Down"
"mead acid","0.015 (0.409)","-0.015 (0.144)","0.8963 ","0.9204","1","Up"
"methionine","0.251 (0.317)","-0.251 (0.149)","0.0286 (W)","0.1080","1","Up"
"methionine sulfoxide","0.301 (0.350)","-0.301 (0.127)","0.0177 ","0.1080","1","Up"
"methylmalonate","0.156 (0.372)","-0.156 (0.329)","0.2548 ","0.3668","1","Up"
"methylphosphate","0.234 (0.288)","-0.234 (0.090)","0.0286 (W)","0.1080","1","Up"
"myo-inositol","0.196 (0.476)","-0.196 (0.276)","0.2047 ","0.3074","1","Up"
"myristate","-0.294 (0.386)","0.294 (0.171)","0.0317 ","0.1114","1","Down"
"myristoleate","-0.253 (0.331)","0.253 (0.221)","0.0439 ","0.1323","1","Down"
"myristoylcarnitine","-0.244 (0.192)","0.244 (0.200)","0.0286 (W)","0.1080","1","Down"
"N-acetylalanine","0.315 (0.354)","-0.315 (0.100)","0.0286 (W)","0.1080","1","Up"
"N-acetylasparagine","0.225 (0.373)","-0.225 (0.354)","0.1303 ","0.2276","1","Up"
"N-acetylaspartate","0.225 (0.313)","-0.225 (0.100)","0.0286 (W)","0.1080","1","Up"
"N-acetylglutamate","-0.107 (0.409)","0.107 (0.080)","0.3737 ","0.4870","1","Down"
"N-acetylglutamine","0.098 (0.286)","-0.098 (0.449)","0.4912 ","0.5971","1","Up"
"N-acetylglycine","-0.346 (0.081)","0.346 (0.160)","0.0286 (W)","0.1080","1","Down"
"N-acetylhistidine","0.081 (0.120)","-0.081 (0.446)","0.5109 ","0.6124","1","Up"
"N-acetylleucine","-0.125 (0.175)","0.125 (0.445)","0.3353 ","0.4488","1","Down"
"N-acetylmethionine","0.343 (0.391)","-0.343 (0.051)","0.0286 (W)","0.1080","1","Up"
"N-acetylneuraminate","0.307 (0.394)","-0.307 (0.090)","0.0490 ","0.1390","1","Up"
"N-acetylserine","0.286 (0.258)","-0.286 (0.196)","0.0124 ","0.1080","1","Up"
"N-acetylthreonine","0.025 (0.364)","-0.025 (0.424)","0.8641 ","0.8980","1","Up"
"N-alpha-acetylornithine","-0.162 (0.435)","0.162 (0.110)","0.2352 ","0.3429","1","Down"
"N-delta-acetylornithine","-0.040 (0.270)","0.040 (0.467)","0.7779 ","0.8285","1","Down"
"N-glycolylneuraminate","-0.263 (0.332)","0.263 (0.142)","0.0269 ","0.1080","1","Down"
"N-palmitoyl-sphinganine","-0.167 (0.438)","0.167 (0.069)","0.2243 ","0.3312","1","Down"
"N-palmitoyl-sphingosine","-0.149 (0.364)","0.149 (0.307)","0.2571 ","0.3685","1","Down"
"N1-Methyl-2-pyridone-5-carboxamide","-0.099 (0.326)","0.099 (0.352)","0.4408 ","0.5455","1","Down"
"N2-acetyllysine/N6-acetyllysine","0.095 (0.457)","-0.095 (0.323)","0.5211 ","0.6160","1","Up"
"N6,N6,N6-trimethyllysine","0.274 (0.380)","-0.274 (0.072)","0.0610 ","0.1483","1","Up"
"N6-succinyladenosine","0.113 (0.476)","-0.113 (0.225)","0.4235 ","0.5336","1","Up"
"nicotinamide","-0.280 (0.446)","0.280 (0.148)","0.0545 ","0.1413","1","Down"
"nicotinamide adenine dinucleotide","-0.029 (0.387)","0.029 (0.414)","0.8430 ","0.8841","1","Down"
"nonadecanoate","-0.237 (0.469)","0.237 (0.119)","0.1348 ","0.2301","1","Down"
"oleamide","0.088 (0.461)","-0.088 (0.030)","0.5003 ","0.6050","1","Up"
"oleate/vaccenate","-0.084 (0.451)","0.084 (0.180)","0.5146 ","0.6125","1","Down"
"oleoyl ethanolamide","-0.046 (0.271)","0.046 (0.448)","0.7391 ","0.7970","1","Down"
"oleoylcarnitine","0.145 (0.308)","-0.145 (0.438)","0.3216 ","0.4373","1","Up"
"ornithine","0.029 (0.085)","-0.029 (0.425)","0.8067 ","0.8539","1","Up"
"orotate","0.267 (0.357)","-0.267 (0.381)","0.0870 ","0.1772","1","Up"
"orotidine","0.333 (0.407)","-0.333 (0.064)","0.0449 ","0.1344","1","Up"
"oxalate","0.085 (0.181)","-0.085 (0.423)","0.4877 ","0.5949","1","Up"
"palmitate","-0.223 (0.443)","0.223 (0.065)","0.1361 ","0.2301","1","Down"
"palmitoleate","-0.244 (0.420)","0.244 (0.184)","0.0773 ","0.1673","1","Down"
"palmitoyl dihydrosphingomyelin","-0.146 (0.412)","0.146 (0.123)","0.2244 ","0.3312","1","Down"
"palmitoyl ethanolamide","-0.225 (0.379)","0.225 (0.313)","0.1165 ","0.2095","1","Down"
"palmitoyl sphingomyelin","0.130 (0.198)","-0.130 (0.449)","0.3298 ","0.4432","1","Up"
"palmitoylcarnitine","-0.121 (0.246)","0.121 (0.397)","0.3392 ","0.4523","1","Down"
"pantothenate","-0.272 (0.340)","0.272 (0.110)","0.0226 ","0.1080","1","Down"
"phenol sulfate","0.018 (0.378)","-0.018 (0.341)","0.8933 ","0.9201","1","Up"
"phenylalanine","0.313 (0.325)","-0.313 (0.063)","0.0286 (W)","0.1080","1","Up"
"phenylalanylglycine","-0.238 (0.376)","0.238 (0.130)","0.0536 ","0.1413","1","Down"
"phosphate","0.241 (0.081)","-0.241 (0.363)","0.0735 ","0.1673","1","Up"
"phosphoenolpyruvate","0.264 (0.293)","-0.264 (0.105)","0.0286 (W)","0.1080","1","Up"
"phosphoethanolamine","0.012 (0.454)","-0.012 (0.261)","0.9310 ","0.9447","1","Up"
"pipecolate","0.311 (0.460)","-0.311 (0.047)","0.0728 ","0.1673","1","Up"
"pro-hydroxy-pro","0.008 (0.436)","-0.008 (0.058)","0.9495 ","0.9551","1","Up"
"proline","0.225 (0.133)","-0.225 (0.282)","0.0286 (W)","0.1080","1","Up"
"prolylglycine","0.100 (0.465)","-0.100 (0.120)","0.4381 ","0.5441","1","Up"
"propionylcarnitine","-0.242 (0.320)","0.242 (0.321)","0.0769 ","0.1673","1","Down"
"pseudouridine","-0.253 (0.254)","0.253 (0.187)","0.0286 (W)","0.1080","1","Down"
"putrescine","0.293 (0.330)","-0.293 (0.134)","0.0165 ","0.1080","1","Up"
"pyridoxal","0.324 (0.274)","-0.324 (0.128)","0.0286 (W)","0.1080","1","Up"
"pyridoxamine","0.027 (0.236)","-0.027 (0.412)","0.8299 ","0.8730","1","Up"
"pyridoxamine phosphate","0.308 (0.277)","-0.308 (0.190)","0.0105 ","0.1080","1","Up"
"pyroglutamine*","-0.264 (0.331)","0.264 (0.079)","0.0286 (W)","0.1080","1","Down"
"retinol","-0.274 (0.325)","0.274 (0.111)","0.0188 ","0.1080","1","Down"
"ribulose","-0.120 (0.233)","0.120 (0.429)","0.3631 ","0.4785","1","Down"
"S-adenosylhomocysteine","0.345 (0.125)","-0.345 (0.130)","0.0286 (W)","0.1080","1","Up"
"sarcosine","0.062 (0.418)","-0.062 (0.055)","0.5982 ","0.6836","1","Up"
"sedoheptulose-7-phosphate","-0.188 (0.319)","0.188 (0.209)","0.0959 ","0.1854","1","Down"
"serine","0.211 (0.335)","-0.211 (0.251)","0.0910 ","0.1788","1","Up"
"spermidine","-0.176 (0.435)","0.176 (0.133)","0.1737 ","0.2716","1","Down"
"sphinganine","-0.248 (0.389)","0.248 (0.155)","0.0557 ","0.1413","1","Down"
"sphingomyelin","0.307 (0.414)","-0.307 (0.103)","0.0555 ","0.1413","1","Up"
"sphingosine","0.181 (0.411)","-0.181 (0.061)","0.1760 ","0.2739","1","Up"
"stachydrine","0.044 (0.402)","-0.044 (0.391)","0.7624 ","0.8171","1","Up"
"stearate","-0.213 (0.447)","0.213 (0.168)","0.1252 ","0.2207","1","Down"
"stearidonate","-0.282 (0.264)","0.282 (0.271)","0.0247 ","0.1080","1","Down"
"stearoyl ethanolamide","-0.285 (0.330)","0.285 (0.146)","0.0195 ","0.1080","1","Down"
"stearoyl sphingomyelin","-0.198 (0.404)","0.198 (0.177)","0.1228 ","0.2178","1","Down"
"stearoylcarnitine","0.333 (0.452)","-0.333 (0.073)","0.0583 ","0.1442","1","Up"
"succinate","-0.245 (0.283)","0.245 (0.168)","0.0246 ","0.1080","1","Down"
"succinylcarnitine","-0.213 (0.430)","0.213 (0.125)","0.1057 ","0.1981","1","Down"
"sucrose","-0.204 (0.191)","0.204 (0.385)","0.1069 ","0.1981","1","Down"
"sulfate*","-0.226 (0.314)","0.226 (0.373)","0.1123 ","0.2044","1","Down"
"tartronate","0.088 (0.451)","-0.088 (0.287)","0.5350 ","0.6232","1","Up"
"taurine","-0.260 (0.445)","0.260 (0.134)","0.0668 ","0.1562","1","Down"
"tauro-beta-muricholate","-0.099 (0.146)","0.099 (0.410)","0.3970 ","0.5091","1","Down"
"taurocholate","-0.126 (0.130)","0.126 (0.393)","0.2698 ","0.3788","1","Down"
"thiamin monophosphate","0.255 (0.190)","-0.255 (0.266)","0.0204 ","0.1080","1","Up"
"threonate","0.181 (0.420)","-0.181 (0.164)","0.1598 ","0.2557","1","Up"
"threonine","0.291 (0.287)","-0.291 (0.119)","0.0286 (W)","0.1080","1","Up"
"trans-4-hydroxyproline","-0.041 (0.413)","0.041 (0.241)","0.7463 ","0.8023","1","Down"
"trans-urocanate","-0.208 (0.426)","0.208 (0.256)","0.1448 ","0.2361","1","Down"
"tricosanoyl","-0.239 (0.439)","0.239 (0.120)","0.0806 ","0.1695","1","Down"
