"","space","start","end","width","peak","feature","names","strand","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_name","V1","V2","V3","V5","V6","V7","V8","V9"
"1","1",1008929,1010092,1164,"peak1","ENSG00000231702","peak1 ENSG00000231702","-",1008076,1008229,"upstream",-700,700,"NearestStart","RP11-54O7.10","chr1",1008929,1010092,290,".",932.66,-1,-1
"2","1",6664330,6664654,325,"peak10","ENSG00000007923","peak10 ENSG00000007923","-",6634168,6701924,"inside",37594,30162,"NearestStart","DNAJC11","chr1",6664330,6664654,44,".",141.37,-1,-1
"3","1",22762393,22762790,398,"peak100","ENSG00000216157","peak100 ENSG00000216157","-",22748817,22748911,"upstream",-13482,13482,"NearestStart","AL611946.1","chr1",22762393,22762790,130,".",417.75,-1,-1
"4","1",22768831,22769384,554,"peak101","ENSG00000216157","peak101 ENSG00000216157","-",22748817,22748911,"upstream",-19920,19920,"NearestStart","AL611946.1","chr1",22768831,22769384,142,".",457.02,-1,-1
"5","1",22771747,22772104,358,"peak102","ENSG00000216157","peak102 ENSG00000216157","-",22748817,22748911,"upstream",-22836,22836,"NearestStart","AL611946.1","chr1",22771747,22772104,100,".",324.03,-1,-1
"6","1",22780973,22781394,422,"peak103","ENSG00000216157","peak103 ENSG00000216157","-",22748817,22748911,"upstream",-32062,32062,"NearestStart","AL611946.1","chr1",22780973,22781394,192,".",618.07,-1,-1
"7","1",22782853,22783300,448,"peak104","ENSG00000216157","peak104 ENSG00000216157","-",22748817,22748911,"upstream",-33942,33942,"NearestStart","AL611946.1","chr1",22782853,22783300,59,".",190.84,-1,-1
"8","1",22783786,22784229,444,"peak105","ENSG00000216157","peak105 ENSG00000216157","-",22748817,22748911,"upstream",-34875,34875,"NearestStart","AL611946.1","chr1",22783786,22784229,143,".",460.47,-1,-1
"9","1",22784425,22784684,260,"peak106","ENSG00000216157","peak106 ENSG00000216157","-",22748817,22748911,"upstream",-35514,35514,"NearestStart","AL611946.1","chr1",22784425,22784684,40,".",129.94,-1,-1
"10","1",22793675,22794026,352,"peak107","ENSG00000225952","peak107 ENSG00000225952","-",22835713,22836849,"downstream",43174,41687,"NearestStart","RP11-69E9.1","chr1",22793675,22794026,46,".",150.11,-1,-1
"11","1",22795812,22796953,1142,"peak108","ENSG00000225952","peak108 ENSG00000225952","-",22835713,22836849,"downstream",41037,38760,"NearestStart","RP11-69E9.1","chr1",22795812,22796953,312,".",1002.52,-1,-1
"12","1",22797656,22798305,650,"peak109","ENSG00000225952","peak109 ENSG00000225952","-",22835713,22836849,"downstream",39193,37408,"NearestStart","RP11-69E9.1","chr1",22797656,22798305,39,".",126.24,-1,-1
"13","1",6671699,6672167,469,"peak11","ENSG00000007923","peak11 ENSG00000007923","-",6634168,6701924,"inside",30225,29757,"NearestStart","DNAJC11","chr1",6671699,6672167,132,".",424.59,-1,-1
"14","1",22798963,22799999,1037,"peak110","ENSG00000225952","peak110 ENSG00000225952","-",22835713,22836849,"downstream",37886,35714,"NearestStart","RP11-69E9.1","chr1",22798963,22799999,780,".",2503.9,-1,-1
"15","1",22805653,22806025,373,"peak111","ENSG00000225952","peak111 ENSG00000225952","-",22835713,22836849,"downstream",31196,29688,"NearestStart","RP11-69E9.1","chr1",22805653,22806025,174,".",559.71,-1,-1
"16","1",22807144,22807536,393,"peak112","ENSG00000225952","peak112 ENSG00000225952","-",22835713,22836849,"downstream",29705,28177,"NearestStart","RP11-69E9.1","chr1",22807144,22807536,43,".",139.37,-1,-1
"17","1",22813520,22813766,247,"peak113","ENSG00000225952","peak113 ENSG00000225952","-",22835713,22836849,"downstream",23329,21947,"NearestStart","RP11-69E9.1","chr1",22813520,22813766,31,".",101.02,-1,-1
"18","1",22952442,22952698,257,"peak114","ENSG00000215906","peak114 ENSG00000215906","-",22953043,22965338,"downstream",12896,345,"NearestStart","LACTBL1","chr1",22952442,22952698,55,".",177.63,-1,-1
"19","1",22958841,22959112,272,"peak115","ENSG00000215906","peak115 ENSG00000215906","-",22953043,22965338,"inside",6497,5798,"NearestStart","LACTBL1","chr1",22958841,22959112,56,".",181.1,-1,-1
"20","1",23799883,23800181,299,"peak116","ENSG00000117308","peak116 ENSG00000117308","-",23795599,23800804,"inside",921,623,"NearestStart","GALE","chr1",23799883,23800181,72,".",233.71,-1,-1
"21","1",23911966,23912520,555,"peak117","ENSG00000188822","peak117 ENSG00000188822","-",23870526,23913362,"inside",1396,842,"NearestStart","CNR2","chr1",23911966,23912520,78,".",252.14,-1,-1
"22","1",24285758,24286098,341,"peak118","ENSG00000266511","peak118 ENSG00000266511","-",24279767,24279855,"upstream",-5903,5903,"NearestStart","AL590683.2","chr1",24285758,24286098,33,".",108.05,-1,-1
"23","1",24327729,24328067,339,"peak119","ENSG00000232298","peak119 ENSG00000232298","-",24307556,24321901,"upstream",-5828,5828,"NearestStart","RP11-10N16.3","chr1",24327729,24328067,172,".",555.11,-1,-1
"24","1",6682773,6683013,241,"peak12","ENSG00000007923","peak12 ENSG00000007923","-",6634168,6701924,"inside",19151,18911,"NearestStart","DNAJC11","chr1",6682773,6683013,42,".",134.88,-1,-1
"25","1",24345233,24345760,528,"peak120","ENSG00000232298","peak120 ENSG00000232298","-",24307556,24321901,"upstream",-23332,23332,"NearestStart","RP11-10N16.3","chr1",24345233,24345760,411,".",1321.18,-1,-1
