external_gene_name	log2FoldChange.HFGTX_vs_HFVeh	padj.HFGTX_vs_HFVeh
Apoh	-0.53068882158863	0.0295402370714244
Narf	-0.810384397389859	0.0112831737872974
Cox5a	-1.16663082865683	0.0195213923332215
Itga5	1.05787949461929	0.0124368583457027
Gm2a	0.736465884829733	0.0374744186309476
Cd52	1.82915744232446	0.00169543371162876
Sult5a1	1.15778390526319	0.00476061799395969
Tubgcp3	-1.07883894787936	0.0308687620673741
Mmp14	1.68010775932957	3.05619398849622e-07
Slc7a7	1.81744511343366	0.0022413521364854
Cfp	1.39760519915369	0.00117542557073365
Lsr	1.06581717721624	0.00246784595249388
Ckb	1.34975561422058	0.0338192484739263
Tubb5	0.886663647248314	0.00231907065288575
Ell2	-0.667923042079205	0.0458489279440245
Tcea3	-1.01492508265179	0.00214921942882266
Tat	-0.722717703596483	0.0418729370012679
Marveld3	1.76091400792617	0.0357492531953835
Ugp2	-0.834117954460356	0.0161985228102055
Tmem25	-1.35263930562444	0.00467794795832446
Spi1	1.89728250853162	0.00108952426442768
Snx9	-0.959166796618339	0.0365001071224519
Ndufa11	-1.13711846120677	0.00197011567022047
Abhd3	-0.777950639165298	0.0209685822999564
Axl	1.39996369115855	3.26043341350623e-05
Clpp	0.936624259987271	0.0278519374596959
Med6	1.00874920917282	0.017839054747243
Flii	-0.76916092034527	0.0312692219942983
Plin4	-1.31773765609958	0.0205492822192731
Hdgfrp2	-0.924770294840575	0.0242193514538347
Adgre5	1.00358508352458	0.0304708231358333
Arrdc2	-1.67485400262479	9.24176367311103e-05
Apoc2	1.55646723338398	2.43748226349627e-05
Fam32a	0.868265168626829	0.0304857655229599
Cyp2c29	-0.970259572436552	0.0167077380599367
Lipe	-0.762476886728853	0.0444140011708
Abcf3	0.714757406117533	0.0381132287611297
Fkbp11	1.23434283041662	0.00374788887763987
Rabac1	0.976040169301603	0.0212649295170639
Ier3	1.65914356359446	0.0455891296310496
Cyp17a1	2.38596440677255	0.00405297480665122
Rps6ka1	0.96044840224989	0.0297581524598425
Snrnp200	-1.06151907443557	0.00285311550575696
Gcdh	-0.598243496594476	0.0326232046757694
Gstm7	1.06355864559314	0.00638924744141938
Gstm3	1.2842463347164	4.52979175021602e-05
Col5a3	-1.63352191525503	0.00985430956773698
Chn2	-0.765848599956023	0.0292052532750802
Aqp1	0.845139385078512	0.0240210929237974
Adgre1	1.60785831811828	0.00310000326531751
Dgkq	-1.77600665403695	0.00282113626068384
Grap	1.88565165492772	0.00161444784329455
Slc2a9	-0.671398588934373	0.0389874220996329
Prlr	0.67010770321167	0.017796144227894
Txn2	1.02431382622226	0.0129487813435334
Mlxipl	-1.32933177627459	0.00355216000341271
Ndufs3	-1.33094897171443	0.0132333793201512
Cyp2a5	-0.892404405907069	0.0287356834185903
Adcy9	-1.15455885418989	0.0191074435690292
Snx6	1.1531270309312	0.0206647897240312
Tomm40l	-2.14213648552937	6.25583626542055e-06
Nr1i3	-0.976862367441306	0.0209685822999564
Apoa2	0.817553586691121	0.037225928172837
Gata6	-1.58500144669139	0.00214112144398355
Reep5	0.933420131576243	0.0245130351872709
Pex1	-1.04763651750872	0.0488642176057849
Tpr	-0.929932446326769	0.0478554902590426
Atp5g1	1.4396566498149	0.00771994079352451
Ccdc159	-1.63441625051681	0.017839054747243
Arpc2	0.706246722049159	0.0452675024304968
Rps9	1.23947893975979	0.0234545856308608
Crip2	1.18872252210217	0.00267371012638908
Crip1	2.20540100611075	0.00221801038903367
Srm	0.76602776691256	0.0225301388473701
Cyba	1.64981506683694	0.00642795345622215
Ihh	1.88046720092936	0.0230971122248306
Rundc3a	1.18838529711361	0.0100444601330438
Aprt	1.43849503252603	0.000149480452260957
Usp19	-0.669099628253084	0.0423104054422814
B4galnt1	0.979773227323616	0.00868113522714185
Hapln4	0.970861447362313	0.0360939103944365
Hnrnph1	-1.19454519486069	0.0118989213443566
Id3	1.04699577535136	0.045851370604865
Ctsd	0.787935619762492	0.0417934569943775
Mid1ip1	1.23749163782406	2.59315115378501e-05
Elk3	0.861788258410604	0.042885136235851
Pou2f2	2.25046579669897	0.00192830651182977
Cd163	1.5774334849814	0.00142760927063745
Bmp7	1.53242823893184	0.000696791025375766
Ewsr1	-1.00101870565466	0.049207191571164
Mkl2	-1.29023932044409	0.00057686491436612
Slc47a1	-0.744564271251906	0.0132100251447876
Tmem86a	1.91535677730318	5.28250663377875e-06
