external_gene_name	log2FoldChange.HFGTX_vs_NormVeh	padj.HFGTX_vs_NormVeh
Tpd52l1	-4.31873618840758	0.0334603186727692
Pemt	-3.41701141351198	0.0029676006327662
Cttnbp2	-3.70921365613394	0.00548872248986562
Grasp	1.51789494032737	0.0111863769457188
Gpa33	-10.1636250271468	0.0465972808734274
Sox9	-3.24835253266067	0.008760758343493
Krit1	0.793051662256102	0.0393682053678798
Chmp1a	-0.90577150901834	7.93194307025665e-06
Tcf7	-5.50712778171058	0.000909744832171517
Hip1r	-2.8423550010728	0.0232693302864007
Pfdn5	-1.15101048172571	0.0465972808734274
Ergic1	-1.31222393472048	0.0120862664429237
Tcea3	-2.80264743291955	0.0121297146509072
Rtcb	-1.69740165824661	0.0234642425149142
Vwf	2.02659545991943	0.00105495383464026
Vsig2	2.2409596945274	0.00193422278968809
Golga2	-0.448419145158909	0.0129085263201938
Alkbh7	-1.25677138721959	0.00172149437981588
Ykt6	-0.537520266760031	0.00348313051245372
Rab8a	-0.793850104682933	0.00999222428409024
Irf3	0.639388729512174	0.0335308206326039
Abcf3	-0.677889930805818	0.00233131462488752
Abhd17a	-0.721275677025026	0.0291743186157913
Fkbp11	-3.11378246319221	0.0186456784494303
St8sia6	-5.03851882769038	0.000203326366398518
Phyhip	-3.17589160986189	0.00144018517253063
Inmt	2.36598613585067	6.53977336573921e-05
Klc4	-0.891373783279092	0.0381090634081611
Man1a	-3.43700205246074	0.00122317647590708
Ppan	0.921042417639012	0.0109791811894487
Etv1	-2.77278375839132	0.0390128784399874
Kifc2	0.884733107909857	0.0344851361107657
Gpx6	-7.45541863989861	0.000659161168269155
Mettl17	1.34902484246351	0.00403696423717238
Arhgef40	-0.823772090796415	0.0102836704420043
Dgkq	1.38377204785142	0.0393205715202599
Rrnad1	1.11408711819018	0.00162262587898142
Mlxipl	1.43139874752472	0.0398754906248687
Ampd3	2.1426137663629	0.000118667827448295
Psmb4	-0.684707641038163	0.00541514399088374
Tuft1	-1.87938223793854	0.0423391727785609
Hspb7	2.01748035601941	0.0172139542913387
Atp6v1b2	-0.4689642315922	0.0389498466981718
Crip1	-3.43727367459286	0.00344254987365645
Pgrmc1	-1.56970160157878	0.0399588634740541
Pfdn2	-0.758584212695666	0.0273862432267193
Nsmf	-1.63881969388889	0.0439992324927202
Prkag3	2.21304809018004	0.0354227503332121
B4galnt1	-3.13713877481481	0.0243629259997372
Ap2s1	-0.955293298400688	0.0296198395503329
Fut1	-9.35605729822723	0.000117507069207863
Bmp7	-3.13635586866606	0.0218727448207202
