"","space","start","end","width","peak","feature","names","strand","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_name","V1","V2","V3","V5","V6","V7","V8","V9"
"1","1",856308,856695,388,"peak1","ENSG00000234711","peak1 ENSG00000234711","+",873292,874349,"upstream",-16984,16597,"NearestStart","TUBB8P11","chr1",856308,856695,291,".",940.39,-1,-1
"2","1",999550,999888,339,"peak10","ENSG00000188290","peak10 ENSG00000188290","-",998962,1000172,"inside",622,284,"NearestStart","HES4","chr1",999550,999888,37,".",122.14,-1,-1
"3","1",15240111,15240902,792,"peak100","ENSG00000142621","peak100 ENSG00000142621","+",15247272,15400283,"upstream",-7161,6370,"NearestStart","FHAD1","chr1",15240111,15240902,959,".",3100,-1,-1
"4","1",15250535,15250812,278,"peak101","ENSG00000142621","peak101 ENSG00000142621","+",15247272,15400283,"inside",3263,3263,"NearestStart","FHAD1","chr1",15250535,15250812,37,".",121.5,-1,-1
"5","1",15271278,15272512,1235,"peak102","ENSG00000142621","peak102 ENSG00000142621","+",15247272,15400283,"inside",24006,24006,"NearestStart","FHAD1","chr1",15271278,15272512,403,".",1304.63,-1,-1
"6","1",15273772,15274371,600,"peak103","ENSG00000142621","peak103 ENSG00000142621","+",15247272,15400283,"inside",26500,26500,"NearestStart","FHAD1","chr1",15273772,15274371,347,".",1123.5,-1,-1
"7","1",15276379,15276854,476,"peak104","ENSG00000142621","peak104 ENSG00000142621","+",15247272,15400283,"inside",29107,29107,"NearestStart","FHAD1","chr1",15276379,15276854,35,".",113.96,-1,-1
"8","1",15290802,15291099,298,"peak105","ENSG00000142621","peak105 ENSG00000142621","+",15247272,15400283,"inside",43530,43530,"NearestStart","FHAD1","chr1",15290802,15291099,34,".",113.04,-1,-1
"9","1",15302609,15303364,756,"peak106","ENSG00000236045","peak106 ENSG00000236045","-",15334166,15335464,"downstream",32855,30802,"NearestStart","RP3-467K16.7","chr1",15302609,15303364,959,".",3100,-1,-1
"10","1",15303464,15304556,1093,"peak107","ENSG00000236045","peak107 ENSG00000236045","-",15334166,15335464,"downstream",32000,29610,"NearestStart","RP3-467K16.7","chr1",15303464,15304556,959,".",3100,-1,-1
"11","1",15347925,15348290,366,"peak108","ENSG00000233485","peak108 ENSG00000233485","-",15326680,15343876,"upstream",-4049,4049,"NearestStart","RP3-467K16.2","chr1",15347925,15348290,34,".",110.71,-1,-1
"12","1",15351858,15352587,730,"peak109","ENSG00000233485","peak109 ENSG00000233485","-",15326680,15343876,"upstream",-7982,7982,"NearestStart","RP3-467K16.2","chr1",15351858,15352587,959,".",3100,-1,-1
"13","1",1007900,1008254,355,"peak11","ENSG00000231702","peak11 ENSG00000231702","-",1008076,1008229,"includeFeature",329,25,"NearestStart","RP11-54O7.10","chr1",1007900,1008254,44,".",145.33,-1,-1
