external_gene_name	log2FoldChange.HFVeh_vs_NormVeh	padj.HFVeh_vs_NormVeh
Chmp1a	-0.69197676687783	0.00681764269327167
Bcl11a	4.2030184043227	0.00205521835163163
Vsig2	2.37290805138035	0.00339923891566863
Ncan	4.51103822499514	2.01547540954226e-05
Abcf3	-0.548234584732811	0.0478403907725293
Phyhip	-2.92496487334764	0.0156699317560489
Inmt	-1.54591880844746	0.0478403907725293
Il7r	2.80802082633455	0.0235507820577449
Arid3b	1.75651836462926	0.0403540710236382
Chd5	5.05833433799273	0.0160987644748337
Hspb7	2.75742898344343	0.00144197966582914
Zbtb32	3.12093878784287	0.000151934771638861
Atp1a4	3.7351699959546	0.03905163922439
Crlf1	2.24765042518023	0.0142218000711287
1700109H08Rik	5.08373644254055	0.0283295308896972
Ccl8	2.27043553012317	0.0458015748929755
Slc9a5	2.99667594344094	0.0142218000711287
Ybx2	3.90422617929266	0.0450717626532938
Sfrp5	3.16510616123282	0.016845286001682
H13	-0.491297226575272	0.0380353909782352
Arf5	-0.760305791458337	0.0212229273594568
Sept4	1.56041679873474	0.0291812506053521
Aurkb	2.03558466443385	0.0462781330328435
Ccdc175	6.10656251812514	0.0418926563553249
Amph	2.86295839156753	0.0445282127150275
Wrnip1	-0.797401698175904	0.00272837046232141
Fam217a	3.15359230597367	0.0365111642826635
Ndufs6	-0.72137885492857	0.0491076840323868
Ddx4	5.41214740077583	0.0420120264928881
Samd4	2.38370393443894	0.0343639851129122
Spry2	-0.738503007585761	0.0217460310494201
Mroh2b	5.24500541224734	0.0450717626532938
Rrm2b	-0.802440212023852	0.0305038871582027
4930562C15Rik	4.82538147686743	0.0392518938645658
Pycrl	-1.51914399096279	0.00205521835163163
Donson	2.10899979339703	0.0190328005346043
Cela1	1.37791111775405	0.0283295308896972
4921501E09Rik	5.57302571214043	0.0355324031789881
Slc5a7	10.2151786416645	9.82054233968306e-06
1700061G19Rik	4.48603155181335	0.0156124460869451
Ftmt	5.8207180918346	0.0305859424826774
Cdc42bpg	-0.624762067696467	0.0183738189256555
Mtl5	5.01975265797485	0.0302219246561825
Fam120c	-1.16769091351797	0.0121099535757601
Adam8	2.15580654108043	0.0491076840323868
