
 Univariate Analysis Result for each variable/metabolite

[NOTE]
    p-value is calculated with t-test as a default.
    p-value with (W) is calculated by the Wilcoxon Mann Whitney test


"Name","Mean (SD) of 
HFD_Tx","Mean (SD) of 
HFD_Veh","p-value","q-value (FDR)","Fold Change","HFD_Tx/HFD_Veh"
"corticosterone","-0.173 (0.349)","0.173 (0.292)","0.1794 ","0.2674","1","Down"
"creatine","-0.160 (0.501)","0.160 (0.155)","0.2670 ","0.3584","1","Down"
"creatine phosphate","-0.075 (0.091)","0.075 (0.418)","0.5279 ","0.6241","1","Down"
"creatinine","0.002 (0.462)","-0.002 (0.224)","0.9880 ","0.9905","1","Up"
"cysteine","0.220 (0.466)","-0.220 (0.135)","0.1193 ","0.2019","1","Up"
"cysteine sulfinic acid","0.363 (0.153)","-0.363 (0.166)","0.0286 (W)","0.1143","1","Up"
"cytidine","0.322 (0.328)","-0.322 (0.121)","0.0286 (W)","0.1143","1","Up"
"cytidine 3'-monophosphate (3'-CMP)","-0.252 (0.136)","0.252 (0.354)","0.0379 ","0.1216","1","Down"
"cytidine 5'-diphosphocholine","0.168 (0.303)","-0.168 (0.433)","0.2505 ","0.3457","1","Up"
"cytidine 5'-monophosphate (5'-CMP)","-0.193 (0.252)","0.193 (0.314)","0.1044 ","0.1864","1","Down"
"cytidine 5'-monophospho-N-acetylneuraminic acid","0.061 (0.449)","-0.061 (0.272)","0.6565 ","0.7282","1","Up"
"cytidine-5'-diphosphoethanolamine","-0.204 (0.412)","0.204 (0.174)","0.1187 ","0.2018","1","Down"
"cytosine","-0.200 (0.367)","0.200 (0.132)","0.0856 ","0.1729","1","Down"
"decanoylcarnitine","-0.299 (0.182)","0.299 (0.155)","0.0286 (W)","0.1143","1","Down"
"dehydroascorbate","0.333 (0.257)","-0.333 (0.132)","0.0286 (W)","0.1143","1","Up"
"deoxycarnitine","0.087 (0.460)","-0.087 (0.380)","0.5794 ","0.6632","1","Up"
"dihomo-linoleate (20:2n6)","-0.007 (0.447)","0.007 (0.402)","0.9620 ","0.9793","1","Down"
"dihomo-linolenate (20:3n3 or n6)","-0.089 (0.475)","0.089 (0.261)","0.5369 ","0.6309","1","Down"
"dihydroxyacetone phosphate (DHAP)","0.227 (0.236)","-0.227 (0.209)","0.0280 ","0.1143","1","Up"
"dimethyl sulfone","0.033 (0.273)","-0.033 (0.412)","0.7975 ","0.8445","1","Up"
"dimethylarginine (SDMA + ADMA)","0.308 (0.387)","-0.308 (0.163)","0.0262 ","0.1143","1","Up"
"dimethylglycine","-0.203 (0.252)","0.203 (0.356)","0.1116 ","0.1947","1","Down"
"docosadienoate (22:2n6)","-0.175 (0.335)","0.175 (0.228)","0.1346 ","0.2203","1","Down"
"docosahexaenoate (DHA; 22:6n3)","-0.021 (0.447)","0.021 (0.215)","0.8708 ","0.9027","1","Down"
"docosapentaenoate (n3 DPA; 22:5n3)","-0.209 (0.448)","0.209 (0.104)","0.1580 ","0.2441","1","Down"
"docosapentaenoate (n6 DPA; 22:5n6)","0.173 (0.412)","-0.173 (0.246)","0.1999 ","0.2889","1","Up"
"eicosapentaenoate (EPA; 20:5n3)","-0.272 (0.350)","0.272 (0.213)","0.0378 ","0.1216","1","Down"
"eicosenoate (20:1)","-0.141 (0.443)","0.141 (0.261)","0.3144 ","0.4029","1","Down"
"ergothioneine","-0.288 (0.096)","0.288 (0.205)","0.0286 (W)","0.1143","1","Down"
"erucate (22:1n9)","-0.261 (0.360)","0.261 (0.106)","0.0319 ","0.1190","1","Down"
"erythronate*","0.261 (0.462)","-0.261 (0.094)","0.1072 ","0.1896","1","Up"
"flavin adenine dinucleotide (FAD)","0.327 (0.146)","-0.327 (0.298)","0.0286 (W)","0.1143","1","Up"
"fructose","0.026 (0.508)","-0.026 (0.147)","0.8518 ","0.8853","1","Up"
"fumarate","0.247 (0.457)","-0.247 (0.190)","0.0929 ","0.1786","1","Up"
"galactonate","0.090 (0.217)","-0.090 (0.407)","0.4658 ","0.5589","1","Up"
"gamma-aminobutyrate (GABA)","0.229 (0.215)","-0.229 (0.294)","0.0454 ","0.1286","1","Up"
"gamma-carboxyglutamate","0.351 (0.260)","-0.351 (0.194)","0.0286 (W)","0.1143","1","Up"
"gamma-glutamyl-epsilon-lysine","0.002 (0.274)","-0.002 (0.425)","0.9866 ","0.9905","1","Up"
"gamma-glutamylalanine","-0.044 (0.203)","0.044 (0.410)","0.7167 ","0.7776","1","Down"
"gamma-glutamylglutamate","-0.222 (0.171)","0.222 (0.319)","0.0494 ","0.1316","1","Down"
"gamma-glutamylglutamine","0.096 (0.160)","-0.096 (0.430)","0.4335 ","0.5314","1","Up"
"gamma-glutamylisoleucine*","-0.185 (0.363)","0.185 (0.120)","0.1007 ","0.1853","1","Down"
"gamma-glutamylleucine","-0.136 (0.381)","0.136 (0.158)","0.2362 ","0.3293","1","Down"
"gamma-glutamylvaline","0.188 (0.258)","-0.188 (0.270)","0.0911 ","0.1772","1","Up"
"gamma-tocopherol/beta-tocopherol","-0.217 (0.408)","0.217 (0.198)","0.1035 ","0.1864","1","Down"
"glucose","-0.162 (0.275)","0.162 (0.261)","0.1388 ","0.2234","1","Down"
"glucuronate","0.053 (0.488)","-0.053 (0.465)","0.7629 ","0.8187","1","Up"
"glutamate","0.185 (0.489)","-0.185 (0.208)","0.2129 ","0.3033","1","Up"
"glutamate, gamma-methyl ester","0.191 (0.427)","-0.191 (0.051)","0.1717 ","0.2595","1","Up"
"glutamine","0.273 (0.345)","-0.273 (0.170)","0.0298 ","0.1155","1","Up"
"glutarate (pentanedioate)","0.321 (0.326)","-0.321 (0.059)","0.0286 (W)","0.1143","1","Up"
"glutarylcarnitine (C5)","0.073 (0.466)","-0.073 (0.024)","0.5758 ","0.6628","1","Up"
"glutathione, oxidized (GSSG)","-0.140 (0.306)","0.140 (0.225)","0.1901 ","0.2778","1","Down"
"glutathione, reduced (GSH)","-0.330 (0.084)","0.330 (0.393)","0.0406 ","0.1243","1","Down"
"glycerate","0.322 (0.464)","-0.322 (0.031)","0.0689 ","0.1644","1","Up"
"glycerol","-0.254 (0.368)","0.254 (0.132)","0.0408 ","0.1243","1","Down"
"glycerol 3-phosphate","0.166 (0.205)","-0.166 (0.301)","0.1181 ","0.2016","1","Up"
"glycerophosphoethanolamine","-0.309 (0.123)","0.309 (0.284)","0.0286 (W)","0.1143","1","Down"
"glycerophosphoglycerol","0.189 (0.348)","-0.189 (0.178)","0.1013 ","0.1853","1","Up"
"glycerophosphoinositol*","0.371 (0.422)","-0.371 (0.034)","0.0286 (W)","0.1143","1","Up"
"glycerophosphorylcholine (GPC)","0.126 (0.473)","-0.126 (0.212)","0.3676 ","0.4651","1","Up"
"glycine","0.297 (0.489)","-0.297 (0.120)","0.0902 ","0.1772","1","Up"
"glycosyl-N-palmitoyl-sphingosine","0.254 (0.324)","-0.254 (0.205)","0.0384 ","0.1216","1","Up"
"glycylleucine","-0.187 (0.347)","0.187 (0.132)","0.0911 ","0.1772","1","Down"
"glycylvaline","-0.180 (0.268)","0.180 (0.313)","0.1303 ","0.2149","1","Down"
"guanidinoacetate","0.138 (0.339)","-0.138 (0.254)","0.2398 ","0.3332","1","Up"
"guanine","0.265 (0.186)","-0.265 (0.221)","0.0286 (W)","0.1143","1","Up"
"guanosine","0.158 (0.103)","-0.158 (0.462)","0.2650 ","0.3584","1","Up"
"guanosine 5'- monophosphate (5'-GMP)","-0.345 (0.449)","0.345 (0.050)","0.0535 ","0.1367","1","Down"
"gulonic acid*","-0.090 (0.092)","0.090 (0.478)","0.5089 ","0.6068","1","Down"
"heme","-0.266 (0.380)","0.266 (0.026)","0.0286 (W)","0.1143","1","Down"
"hexadecanedioate","-0.255 (0.347)","0.255 (0.115)","0.0317 ","0.1190","1","Down"
"hexanoylcarnitine","-0.223 (0.179)","0.223 (0.400)","0.0876 ","0.1743","1","Down"
"hexanoylglycine","-0.243 (0.294)","0.243 (0.334)","0.0713 ","0.1684","1","Down"
"hippurate","-0.321 (0.277)","0.321 (0.079)","0.0286 (W)","0.1143","1","Down"
"histamine","0.112 (0.239)","-0.112 (0.482)","0.4385 ","0.5343","1","Up"
"histidine","0.292 (0.422)","-0.292 (0.110)","0.0366 ","0.1216","1","Up"
"homocitrulline","-0.040 (0.336)","0.040 (0.436)","0.7811 ","0.8358","1","Down"
"homostachydrine*","-0.235 (0.243)","0.235 (0.244)","0.0343 ","0.1216","1","Down"
"hypotaurine","0.314 (0.385)","-0.314 (0.129)","0.0211 ","0.1143","1","Up"
"hypoxanthine","0.320 (0.310)","-0.320 (0.225)","0.0156 ","0.1143","1","Up"
"imidazole lactate","-0.330 (0.335)","0.330 (0.129)","0.0104 ","0.1143","1","Down"
"imidazole propionate","-0.241 (0.344)","0.241 (0.068)","0.0286 (W)","0.1143","1","Down"
"indolelactate","-0.279 (0.163)","0.279 (0.283)","0.0141 ","0.1143","1","Down"
"inosine","0.300 (0.333)","-0.300 (0.295)","0.0358 ","0.1216","1","Up"
"inosine 5'-monophosphate (IMP)","-0.134 (0.142)","0.134 (0.448)","0.2974 ","0.3887","1","Down"
"Isobar: fructose 1,6-diphosphate, glucose 1,6-diphosphate, myo-inositol 1,4 or 1,3-diphosphate","0.188 (0.334)","-0.188 (0.214)","0.1068 ","0.1896","1","Up"
"isobutyrylcarnitine","-0.030 (0.438)","0.030 (0.410)","0.8488 ","0.8845","1","Down"
"isocitrate","-0.293 (0.270)","0.293 (0.085)","0.0286 (W)","0.1143","1","Down"
"isoleucine","0.086 (0.436)","-0.086 (0.335)","0.5537 ","0.6464","1","Up"
"isoleucylglycine","-0.203 (0.487)","0.203 (0.153)","0.1630 ","0.2501","1","Down"
"isovalerylcarnitine","0.055 (0.346)","-0.055 (0.453)","0.7151 ","0.7776","1","Up"
"isovalerylglycine","-0.179 (0.383)","0.179 (0.464)","0.2792 ","0.3685","1","Down"
"kynurenine","0.324 (0.429)","-0.324 (0.127)","0.0275 ","0.1143","1","Up"
"lactate","0.232 (0.209)","-0.232 (0.396)","0.0839 ","0.1729","1","Up"
"laurylcarnitine","-0.267 (0.223)","0.267 (0.169)","0.0286 (W)","0.1143","1","Down"
"leucine","0.176 (0.431)","-0.176 (0.271)","0.2168 ","0.3077","1","Up"
"leucylglycine","-0.226 (0.455)","0.226 (0.100)","0.1393 ","0.2234","1","Down"
"linoleate (18:2n6)","-0.247 (0.429)","0.247 (0.154)","0.0732 ","0.1685","1","Down"
"linolenate [alpha or gamma; (18:3n3 or 6)]","-0.268 (0.355)","0.268 (0.189)","0.0374 ","0.1216","1","Down"
"linoleoylcarnitine*","0.068 (0.422)","-0.068 (0.396)","0.6555 ","0.7282","1","Up"
"lysine","0.324 (0.312)","-0.324 (0.125)","0.0286 (W)","0.1143","1","Up"
"malate","0.139 (0.479)","-0.139 (0.187)","0.3210 ","0.4101","1","Up"
"malonylcarnitine","-0.190 (0.425)","0.190 (0.092)","0.1702 ","0.2583","1","Down"
"maltose","-0.145 (0.059)","0.145 (0.411)","0.2538 ","0.3490","1","Down"
"maltotriose","-0.229 (0.179)","0.229 (0.306)","0.0420 ","0.1259","1","Down"
"mannose","0.189 (0.398)","-0.189 (0.204)","0.1415 ","0.2251","1","Up"
"margarate (17:0)","-0.157 (0.480)","0.157 (0.179)","0.2670 ","0.3584","1","Down"
"mead acid (20:3n9)","-0.004 (0.411)","0.004 (0.121)","0.9682 ","0.9815","1","Down"
"methionine","0.265 (0.408)","-0.265 (0.073)","0.0286 (W)","0.1143","1","Up"
"methionine sulfoxide","0.295 (0.355)","-0.295 (0.137)","0.0212 ","0.1143","1","Up"
"methylmalonate (MMA)","0.133 (0.344)","-0.133 (0.328)","0.3067 ","0.3956","1","Up"
"methylphosphate","0.220 (0.289)","-0.220 (0.153)","0.0359 ","0.1216","1","Up"
"methylsuccinate","-0.289 (0.354)","0.289 (0.096)","0.0286 (W)","0.1143","1","Down"
"myo-inositol","0.166 (0.461)","-0.166 (0.271)","0.2622 ","0.3584","1","Up"
"myristate (14:0)","-0.285 (0.336)","0.285 (0.185)","0.0252 ","0.1143","1","Down"
"myristoleate (14:1n5)","-0.234 (0.275)","0.234 (0.227)","0.0393 ","0.1226","1","Down"
"myristoylcarnitine","-0.243 (0.180)","0.243 (0.208)","0.0286 (W)","0.1143","1","Down"
"N-acetylalanine","0.292 (0.379)","-0.292 (0.163)","0.0301 ","0.1155","1","Up"
"N-acetylasparagine","0.217 (0.402)","-0.217 (0.358)","0.1584 ","0.2441","1","Up"
"N-acetylaspartate (NAA)","0.192 (0.323)","-0.192 (0.180)","0.0827 ","0.1728","1","Up"
"N-acetylglutamate","-0.117 (0.408)","0.117 (0.085)","0.3387 ","0.4299","1","Down"
"N-acetylglutamine","0.079 (0.284)","-0.079 (0.460)","0.5794 ","0.6632","1","Up"
"N-acetylglycine","-0.339 (0.058)","0.339 (0.202)","0.0286 (W)","0.1143","1","Down"
"N-acetylhistidine","0.062 (0.130)","-0.062 (0.427)","0.5972 ","0.6776","1","Up"
"N-acetylleucine","-0.134 (0.157)","0.134 (0.440)","0.2939 ","0.3853","1","Down"
"N-acetylmethionine","0.346 (0.427)","-0.346 (0.054)","0.0466 ","0.1309","1","Up"
"N-acetylneuraminate","0.319 (0.438)","-0.319 (0.052)","0.0609 ","0.1498","1","Up"
"N-acetylserine","0.312 (0.346)","-0.312 (0.124)","0.0145 ","0.1143","1","Up"
"N-acetyltaurine","-0.245 (0.463)","0.245 (0.163)","0.0923 ","0.1784","1","Down"
"N-acetylthreonine","-0.052 (0.331)","0.052 (0.354)","0.6856 ","0.7584","1","Down"
"N-alpha-acetylornithine","-0.168 (0.427)","0.168 (0.077)","0.2129 ","0.3033","1","Down"
"N-delta-acetylornithine","-0.050 (0.212)","0.050 (0.457)","0.7060 ","0.7767","1","Down"
"N-formylmethionine","-0.188 (0.370)","0.188 (0.410)","0.2219 ","0.3138","1","Down"
"N-glycolylneuraminate","-0.280 (0.320)","0.280 (0.092)","0.0286 (W)","0.1143","1","Down"
"N-palmitoyl-sphinganine (d18:0/16:0)","-0.185 (0.426)","0.185 (0.099)","0.1808 ","0.2682","1","Down"
"N-palmitoyl-sphingosine (d18:1/16:0)","-0.183 (0.351)","0.183 (0.214)","0.1256 ","0.2090","1","Down"
"N1-Methyl-2-pyridone-5-carboxamide","-0.136 (0.320)","0.136 (0.311)","0.2682 ","0.3587","1","Down"
"N2-acetyllysine/N6-acetyllysine","0.084 (0.468)","-0.084 (0.341)","0.5826 ","0.6648","1","Up"
"N6,N6,N6-trimethyllysine","0.257 (0.393)","-0.257 (0.141)","0.0493 ","0.1316","1","Up"
"N6-succinyladenosine","0.104 (0.475)","-0.104 (0.238)","0.4629 ","0.5571","1","Up"
"nicotinamide","-0.302 (0.423)","0.302 (0.120)","0.0337 ","0.1213","1","Down"
"nicotinamide adenine dinucleotide (NAD+)","-0.061 (0.413)","0.061 (0.311)","0.6531 ","0.7282","1","Down"
"nonadecanoate (19:0)","-0.269 (0.458)","0.269 (0.112)","0.0972 ","0.1833","1","Down"
"octanoylcarnitine","-0.248 (0.249)","0.248 (0.238)","0.0282 ","0.1143","1","Down"
"oleamide","0.079 (0.465)","-0.079 (0.022)","0.5445 ","0.6380","1","Up"
"oleate/vaccenate (18:1)","-0.115 (0.461)","0.115 (0.206)","0.3971 ","0.4976","1","Down"
"oleoyl ethanolamide","-0.071 (0.276)","0.071 (0.452)","0.6107 ","0.6909","1","Down"
"oleoylcarnitine","0.099 (0.308)","-0.099 (0.445)","0.4935 ","0.5905","1","Up"
"ornithine","0.014 (0.092)","-0.014 (0.435)","0.9042 ","0.9324","1","Up"
"orotate","0.265 (0.362)","-0.265 (0.376)","0.0890 ","0.1762","1","Up"
"orotidine","0.336 (0.430)","-0.336 (0.074)","0.0499 ","0.1316","1","Up"
"oxalate (ethanedioate)","0.071 (0.181)","-0.071 (0.421)","0.5567 ","0.6464","1","Up"
"p-cresol sulfate","-0.228 (0.343)","0.228 (0.099)","0.0435 ","0.1260","1","Down"
"p-cresol-glucuronide*","-0.139 (0.350)","0.139 (0.351)","0.3061 ","0.3956","1","Down"
"palmitate (16:0)","-0.262 (0.450)","0.262 (0.109)","0.0990 ","0.1853","1","Down"
"palmitoleate (16:1n7)","-0.242 (0.368)","0.242 (0.211)","0.0623 ","0.1514","1","Down"
"palmitoyl dihydrosphingomyelin (d18:0/16:0)*","-0.169 (0.400)","0.169 (0.101)","0.1897 ","0.2778","1","Down"
"palmitoyl ethanolamide","-0.257 (0.370)","0.257 (0.272)","0.0667 ","0.1600","1","Down"
"palmitoyl sphingomyelin (d18:1/16:0)","0.053 (0.434)","-0.053 (0.272)","0.6947 ","0.7663","1","Up"
"palmitoylcarnitine","-0.135 (0.254)","0.135 (0.412)","0.3056 ","0.3956","1","Down"
"pantothenate","-0.282 (0.337)","0.282 (0.072)","0.0286 (W)","0.1143","1","Down"
"phenol sulfate","0.008 (0.362)","-0.008 (0.366)","0.9498 ","0.9694","1","Up"
"phenylacetylglycine","-0.174 (0.424)","0.174 (0.156)","0.1744 ","0.2626","1","Down"
"phenylalanine","0.298 (0.357)","-0.298 (0.153)","0.0219 ","0.1143","1","Up"
"phenylalanylglycine","-0.241 (0.357)","0.241 (0.153)","0.0474 ","0.1316","1","Down"
"phenyllactate (PLA)","-0.252 (0.235)","0.252 (0.223)","0.0210 ","0.1143","1","Down"
"phosphate","0.181 (0.224)","-0.181 (0.301)","0.1015 ","0.1853","1","Up"
"phosphoenolpyruvate (PEP)","0.248 (0.299)","-0.248 (0.139)","0.0237 ","0.1143","1","Up"
"phosphoethanolamine","-0.027 (0.437)","0.027 (0.220)","0.8323 ","0.8719","1","Down"
"phosphopantetheine","-0.248 (0.223)","0.248 (0.360)","0.0579 ","0.1441","1","Down"
"pipecolate","0.304 (0.468)","-0.304 (0.032)","0.0802 ","0.1728","1","Up"
"pro-hydroxy-pro","-0.012 (0.426)","0.012 (0.078)","0.9192 ","0.9430","1","Down"
"proline","0.225 (0.229)","-0.225 (0.249)","0.0379 ","0.1216","1","Up"
"prolylglycine","0.082 (0.459)","-0.082 (0.098)","0.5308 ","0.6256","1","Up"
"propionylcarnitine","-0.266 (0.301)","0.266 (0.224)","0.0298 ","0.1155","1","Down"
"pseudouridine","-0.311 (0.264)","0.311 (0.206)","0.0286 (W)","0.1143","1","Down"
"putrescine","0.297 (0.361)","-0.297 (0.109)","0.0198 ","0.1143","1","Up"
"pyridoxal","0.333 (0.301)","-0.333 (0.098)","0.0286 (W)","0.1143","1","Up"
"pyridoxamine","0.005 (0.195)","-0.005 (0.424)","0.9691 ","0.9815","1","Up"
"pyridoxamine phosphate","0.304 (0.296)","-0.304 (0.178)","0.0125 ","0.1143","1","Up"
"pyridoxate","-0.263 (0.299)","0.263 (0.269)","0.0397 ","0.1229","1","Down"
"pyroglutamine*","-0.276 (0.323)","0.276 (0.060)","0.0286 (W)","0.1143","1","Down"
"retinol (Vitamin A)","-0.280 (0.321)","0.280 (0.091)","0.0286 (W)","0.1143","1","Down"
"ribulose 5-phosphate","-0.133 (0.194)","0.133 (0.411)","0.2868 ","0.3773","1","Down"
"S-adenosylhomocysteine (SAH)","0.325 (0.152)","-0.325 (0.143)","0.0286 (W)","0.1143","1","Up"
"salicylate","-0.261 (0.296)","0.261 (0.092)","0.0286 (W)","0.1143","1","Down"
"sarcosine (N-Methylglycine)","0.053 (0.420)","-0.053 (0.081)","0.6552 ","0.7282","1","Up"
"sebacate (decanedioate)","-0.294 (0.227)","0.294 (0.224)","0.0102 ","0.1143","1","Down"
"sedoheptulose-7-phosphate","-0.177 (0.282)","0.177 (0.200)","0.0865 ","0.1737","1","Down"
"serine","0.201 (0.439)","-0.201 (0.165)","0.1369 ","0.2221","1","Up"
"spermidine","-0.225 (0.445)","0.225 (0.061)","0.1358 ","0.2214","1","Down"
